County,Date,Connections
Leitrim,Unnamed: 13,86
Limerick City and County,Unnamed: 13,270
Longford,Unnamed: 13,129
Louth,Unnamed: 13,326
Mayo,Unnamed: 13,380
Meath,Unnamed: 13,403
Monaghan,Unnamed: 13,142
Offaly,Unnamed: 13,130
Roscommon,Unnamed: 13,174
Sligo,Unnamed: 13,145
South Dublin,Unnamed: 13,832
Tipperary,Unnamed: 13,273
Waterford City and County,Unnamed: 13,232
Westmeath,Unnamed: 13,217
Wexford,Unnamed: 13,455
Wicklow,Unnamed: 13,245
Cork,Unnamed: 13,155
Dublin,Unnamed: 13,914
Galway,Unnamed: 13,87
TOTALS,Unnamed: 13,"11,016"
Carlow ,2015,7
Cavan,2015,20
Clare,2015,14
Cork,2015,73
Donegal,2015,37
D/L Rathdown,2015,25
Fingal,2015,42
Galway,2015,34
Kerry,2015,17
Kildare,2015,41
Kilkenny,2015,10
Laois,2015,10
Leitrim,2015,12
Limerick City and County,2015,14
Longford,2015,6
Louth,2015,34
Mayo,2015,21
Meath,2015,36
Monaghan,2015,8
Offaly,2015,20
Roscommon,2015,9
Sligo,2015,16
South Dublin,2015,14
Tipperary,2015,22
Waterford City and County,2015,22
Westmeath,2015,8
Wexford,2015,27
Wicklow,2015,16
Cork,2015,12
Dublin,2015,37
Galway,2015,29
TOTALS,2015,693
Carlow ,Unnamed: 15,16
Cavan,Unnamed: 15,16
Clare,Unnamed: 15,14
Cork,Unnamed: 15,61
Donegal,Unnamed: 15,40
D/L Rathdown,Unnamed: 15,26
Fingal,Unnamed: 15,86
Galway,Unnamed: 15,42
Kerry,Unnamed: 15,22
Kildare,Unnamed: 15,52
Kilkenny,Unnamed: 15,20
Laois,Unnamed: 15,13
Leitrim,Unnamed: 15,10
Limerick City and County,Unnamed: 15,41
Longford,Unnamed: 15,12
Louth,Unnamed: 15,47
Mayo,Unnamed: 15,32
Meath,Unnamed: 15,27
Monaghan,Unnamed: 15,11
Offaly,Unnamed: 15,17
Roscommon,Unnamed: 15,10
Sligo,Unnamed: 15,12
South Dublin,Unnamed: 15,12
Tipperary,Unnamed: 15,26
Waterford City and County,Unnamed: 15,28
Westmeath,Unnamed: 15,12
Wexford,Unnamed: 15,34
Wicklow,Unnamed: 15,24
Cork,Unnamed: 15,12
Dublin,Unnamed: 15,55
Galway,Unnamed: 15,6
TOTALS,Unnamed: 15,836
Carlow ,Unnamed: 16,13
Cavan,Unnamed: 16,23
Clare,Unnamed: 16,29
Cork,Unnamed: 16,96
Donegal,Unnamed: 16,33
D/L Rathdown,Unnamed: 16,115
Fingal,Unnamed: 16,116
Galway,Unnamed: 16,59
Kerry,Unnamed: 16,55
Kildare,Unnamed: 16,57
Kilkenny,Unnamed: 16,16
Laois,Unnamed: 16,21
Leitrim,Unnamed: 16,13
Limerick City and County,Unnamed: 16,42
Longford,Unnamed: 16,16
Louth,Unnamed: 16,33
Mayo,Unnamed: 16,28
Meath,Unnamed: 16,23
Monaghan,Unnamed: 16,11
Offaly,Unnamed: 16,17
Roscommon,Unnamed: 16,11
Sligo,Unnamed: 16,14
South Dublin,Unnamed: 16,34
Tipperary,Unnamed: 16,41
Waterford City and County,Unnamed: 16,10
Westmeath,Unnamed: 16,9
Wexford,Unnamed: 16,25
Wicklow,Unnamed: 16,28
Cork,Unnamed: 16,18
Dublin,Unnamed: 16,90
Galway,Unnamed: 16,4
TOTALS,Unnamed: 16,"1,100"
Carlow ,Unnamed: 17,15
Cavan,Unnamed: 17,12
Clare,Unnamed: 17,29
Cork,Unnamed: 17,80
Donegal,Unnamed: 17,27
D/L Rathdown,Unnamed: 17,85
Fingal,Unnamed: 17,107
Galway,Unnamed: 17,46
Kerry,Unnamed: 17,35
Kildare,Unnamed: 17,55
Kilkenny,Unnamed: 17,12
Laois,Unnamed: 17,19
Leitrim,Unnamed: 17,8
Limerick City and County,Unnamed: 17,26
Longford,Unnamed: 17,19
Louth,Unnamed: 17,38
Mayo,Unnamed: 17,39
Meath,Unnamed: 17,45
Monaghan,Unnamed: 17,15
Offaly,Unnamed: 17,17
Roscommon,Unnamed: 17,16
Sligo,Unnamed: 17,8
South Dublin,Unnamed: 17,14
Tipperary,Unnamed: 17,29
Waterford City and County,Unnamed: 17,27
Westmeath,Unnamed: 17,5
Wexford,Unnamed: 17,28
Wicklow,Unnamed: 17,25
Cork,Unnamed: 17,4
Dublin,Unnamed: 17,55
Galway,Unnamed: 17,6
TOTALS,Unnamed: 17,946
Carlow ,Unnamed: 18,11
Cavan,Unnamed: 18,27
Clare,Unnamed: 18,34
Cork,Unnamed: 18,75
Donegal,Unnamed: 18,62
D/L Rathdown,Unnamed: 18,67
Fingal,Unnamed: 18,110
Galway,Unnamed: 18,63
Kerry,Unnamed: 18,22
Kildare,Unnamed: 18,55
Kilkenny,Unnamed: 18,12
Laois,Unnamed: 18,15
Leitrim,Unnamed: 18,14
Limerick City and County,Unnamed: 18,25
Longford,Unnamed: 18,10
Louth,Unnamed: 18,25
Mayo,Unnamed: 18,32
Meath,Unnamed: 18,35
Monaghan,Unnamed: 18,16
Offaly,Unnamed: 18,16
Roscommon,Unnamed: 18,22
Sligo,Unnamed: 18,9
South Dublin,Unnamed: 18,13
Tipperary,Unnamed: 18,23
Waterford City and County,Unnamed: 18,31
Westmeath,Unnamed: 18,25
Wexford,Unnamed: 18,51
Wicklow,Unnamed: 18,29
Cork,Unnamed: 18,23
Dublin,Unnamed: 18,39
Galway,Unnamed: 18,0
TOTALS,Unnamed: 18,991
Carlow ,Unnamed: 19,22
Cavan,Unnamed: 19,18
Clare,Unnamed: 19,34
Cork,Unnamed: 19,121
Donegal,Unnamed: 19,50
D/L Rathdown,Unnamed: 19,38
Fingal,Unnamed: 19,101
Galway,Unnamed: 19,38
Kerry,Unnamed: 19,36
Kildare,Unnamed: 19,70
Kilkenny,Unnamed: 19,16
Laois,Unnamed: 19,9
Leitrim,Unnamed: 19,9
Limerick City and County,Unnamed: 19,38
Longford,Unnamed: 19,24
Louth,Unnamed: 19,16
Mayo,Unnamed: 19,33
Meath,Unnamed: 19,36
Monaghan,Unnamed: 19,11
Offaly,Unnamed: 19,15
Roscommon,Unnamed: 19,12
Sligo,Unnamed: 19,14
South Dublin,Unnamed: 19,54
Tipperary,Unnamed: 19,28
Waterford City and County,Unnamed: 19,45
Westmeath,Unnamed: 19,15
Wexford,Unnamed: 19,35
Wicklow,Unnamed: 19,61
Cork,Unnamed: 19,22
Dublin,Unnamed: 19,37
Galway,Unnamed: 19,1
TOTALS,Unnamed: 19,"1,059"
Carlow ,Unnamed: 20,16
Cavan,Unnamed: 20,24
Clare,Unnamed: 20,38
Cork,Unnamed: 20,93
Donegal,Unnamed: 20,39
D/L Rathdown,Unnamed: 20,47
Fingal,Unnamed: 20,100
Galway,Unnamed: 20,71
Kerry,Unnamed: 20,32
Kildare,Unnamed: 20,70
Kilkenny,Unnamed: 20,17
Laois,Unnamed: 20,14
Leitrim,Unnamed: 20,7
Limerick City and County,Unnamed: 20,39
Longford,Unnamed: 20,17
Louth,Unnamed: 20,41
Mayo,Unnamed: 20,46
Meath,Unnamed: 20,43
Monaghan,Unnamed: 20,21
Offaly,Unnamed: 20,21
Roscommon,Unnamed: 20,17
Sligo,Unnamed: 20,15
South Dublin,Unnamed: 20,27
Tipperary,Unnamed: 20,40
Waterford City and County,Unnamed: 20,22
Westmeath,Unnamed: 20,35
Wexford,Unnamed: 20,43
Wicklow,Unnamed: 20,57
Cork,Unnamed: 20,26
Dublin,Unnamed: 20,35
Galway,Unnamed: 20,7
TOTALS,Unnamed: 20,"1,120"
Carlow ,Unnamed: 21,17
